Winner,Team1,Team2,Team1_Score,Team2_Score
AVANGAR,AVANGAR,forZe,16,14
ARYO,SinnerS,ARYO,16,9
SinnerS,SinnerS,ARYO,9,16
ARYO,SinnerS,ARYO,14,16
HEY,EPG,HEY,16,6
EPG,EPG,HEY,16,14
Without Warning,Without Warning,Bpro,16,10
Without Warning,Without Warning,Bpro,8,16
Without Warning,Bpro,Without Warning,16,4
God Squad,God Squad,Team Killz,16,12
Singularity,Red Reserve,Singularity,16,6
FaZe,FaZe,Cloud9,16,14
Cloud9,Cloud9,FaZe,16,10
Cloud9,FaZe,Cloud9,19,22
GX,HWML,GX,13,16
Lucky7,Tainted Minds,Lucky7,16,3
Carnage,Carnage,MC,16,13
EHOME,Signature,EHOME,13,16
Signature,EHOME,Signature,11,16
EHOME,Signature,EHOME,12,16
Signature,EHOME,Signature,11,16
EPG,AVANGAR,EPG,11,16
AVANGAR,EPG,AVANGAR,12,16
